split,horizon_sec,model,FK_at_0.5,MSR_at_0.5,FK_at_0.25,FK_at_0.75,PR_AUC,ROC_AUC,NDCG_half,n_anchors
test,300,C2,0.01570940170940171,0.581971361971362,0.008547008547008546,0.02434106634106634,0.9462224591094442,0.8285394610889659,0.9877244641588216,975
test,300,C2_noemb,0.016085470085470087,0.5818089688089689,0.011623931623931622,0.02448229548229548,0.9415880352078704,0.8199055619847699,0.9868846114571594,975
test,300,C1,0.016170940170940173,0.5816893106893106,0.01111111111111111,0.024188441188441188,0.9446335145006977,0.818993685082794,0.9873746779089554,975
test,300,markov_inv,0.01511111111111111,0.5825004995004994,0.01452991452991453,0.0237012617012617,0.9410626156024177,0.8063154529738689,0.9871399511265546,975
test,300,hybrid_lru_mk,0.017435897435897435,0.5797320457320457,0.014017094017094018,0.023526251526251523,0.928503350747361,0.7957306444930207,0.9847332985464553,975
test,300,tibg,0.019213675213675216,0.5783690013690014,0.015042735042735044,0.023544566544566548,0.9181016300197327,0.7778699298501278,0.9831304845556681,975
test,300,lru,0.019555555555555555,0.5779494209494208,0.015042735042735044,0.024006105006105,0.9150516821678045,0.7674663894960925,0.9828442654246835,975
test,300,lfu_hour,0.019504273504273504,0.5792424242424241,0.018803418803418803,0.02765689865689866,0.9062378021970409,0.6984874380295173,0.9826238160554082,975
test,300,lfu_today,0.025487179487179486,0.5728602508602508,0.020512820512820513,0.02844159544159544,0.8846416482505808,0.6653168888317402,0.9775142728378368,975
test,300,lfu_1h,0.025709401709401704,0.5722387982387982,0.021709401709401707,0.027048840048840048,0.8675853179138777,0.6649923920963525,0.9752579358084424,975
test,300,random,0.031179487179487177,0.568922928922929,0.03504273504273504,0.03155229955229955,0.810738516724276,0.48869976283342625,0.9684932623911798,975
test,600,C2,0.02685470085470085,0.590038665038665,0.013504273504273504,0.04176353276353277,0.9391000015192146,0.8187061234607246,0.9808704278633629,975
test,600,C1,0.0274017094017094,0.5899788359788359,0.015555555555555555,0.04175295075295075,0.9419138531035158,0.8139754247116211,0.9809943978397728,975
test,600,C2_noemb,0.02829059829059829,0.5892010582010582,0.019658119658119654,0.0422946682946683,0.9263226151778856,0.7992641135279172,0.9781336780087259,975
test,600,markov_inv,0.02688888888888889,0.589943093943094,0.02564102564102564,0.04117338217338217,0.9221725136415365,0.7819172221779583,0.9778379675460919,975
test,600,hybrid_lru_mk,0.03167521367521368,0.5846442816442817,0.025128205128205128,0.04062800162800163,0.9113581860979147,0.7651663435405766,0.9734891560493791,975
test,600,tibg,0.03408547008547009,0.5823992673992675,0.025128205128205128,0.0409027269027269,0.903962421224243,0.7516406395240751,0.9713310359557298,975
test,600,lru,0.03476923076923077,0.5815601065601066,0.025128205128205128,0.04165486365486365,0.9006385935522557,0.741201896263246,0.9707585976937604,975
test,600,lfu_hour,0.03167521367521367,0.5865820105820105,0.030940170940170937,0.04635653235653235,0.8979658147156586,0.6958218800626775,0.9729182401006043,975
test,600,lfu_today,0.041247863247863246,0.5751583231583232,0.032136752136752135,0.047047212047212045,0.8778309962564538,0.6688562885648776,0.9645929772486417,975
test,600,lfu_1h,0.04596581196581196,0.5715605135605135,0.037606837606837605,0.046212861212861216,0.8445992071045023,0.6334982161669278,0.9567289160525835,975
test,600,random,0.05266666666666666,0.5660643430643431,0.055384615384615386,0.05177126577126577,0.8035047062578236,0.49592551279667835,0.9486236457653626,975
val,300,C2,0.013964380572946309,0.5881303291661857,0.01045816733067729,0.026677022070448364,0.9473912389867366,0.8281790334421912,0.9888894401062787,1004
val,300,C2_noemb,0.013988095238095237,0.587988472351022,0.008798140770252323,0.027135110352241823,0.9455337617559618,0.8219691695568887,0.9887209925762881,1004
val,300,hybrid_lru_mk,0.016513707076456077,0.5862233467064144,0.013114209827357236,0.026395212799595266,0.9377995290137703,0.8218303545057932,0.9862748033557409,1004
val,300,C1,0.016038228040220072,0.5863790370762483,0.01145418326693227,0.027114557642446087,0.9408247765718938,0.8112944398032118,0.9870914316426743,1004
val,300,lru,0.016963099981028264,0.5861363570028909,0.014857237715803452,0.02747146335293746,0.9326324658602955,0.8074686927757103,0.9856700014466233,1004
val,300,tibg,0.01721210396509201,0.5859371538156398,0.01593625498007968,0.027067523556567382,0.9299856990468621,0.8029179641021746,0.985063762492158,1004
val,300,markov_inv,0.019667757541263518,0.5833292952067851,0.016849269588313412,0.026491652437867576,0.9286024965321374,0.7925143772731491,0.9828266050388397,1004
val,300,lfu_hour,0.025079444128248907,0.5795958164235057,0.021331341301460822,0.033676405489154494,0.9042494224114943,0.6922179185337081,0.9774425830245067,1004
val,300,lfu_1h,0.03034647125782584,0.5746711068922224,0.029216467463479414,0.032569325871118694,0.8815651957102489,0.6883043572736556,0.9712056252648962,1004
val,300,lfu_today,0.025230032251944604,0.5799151739141778,0.02631142098273572,0.03277208625814203,0.897075624047995,0.6668434026986658,0.976362961707688,1004
val,300,random,0.0398738379814077,0.5679975845314491,0.04125166002656042,0.038646999304369815,0.8371883298690374,0.48687005814198797,0.9602064994594222,1004
val,600,C2_noemb,0.026356478846518688,0.6002983127983127,0.01933930942895086,0.04744948776323279,0.9348516083807804,0.8171452368220429,0.9782475032350489,1004
val,600,C2,0.026897173211914243,0.5989303359323279,0.019671314741035856,0.047959353063934736,0.9359711134668591,0.8165913969145908,0.9782320240300897,1004
val,600,hybrid_lru_mk,0.03059428950863214,0.5966727357414607,0.025398406374501994,0.048095317144121914,0.9256328954358009,0.8061354203464469,0.9744348728286569,1004
val,600,C1,0.03120375640295959,0.5958271752594462,0.02099933598937583,0.049633608423449056,0.9299682024491602,0.7932396905305651,0.975064245648244,1004
val,600,markov_inv,0.034661354581673305,0.5931656960790426,0.030212483399734393,0.04802575412635173,0.919113909370599,0.7860394754168518,0.9702027559384854,1004
val,600,lru,0.03346850692468223,0.5944193754452718,0.029133466135458162,0.0495992221589831,0.9174215724680406,0.7851286018586399,0.971632043860839,1004
val,600,tibg,0.03396651489280972,0.593971168273957,0.031291500664010624,0.04918974894074495,0.9135265131547303,0.7787348846759492,0.970413305898029,1004
val,600,lfu_hour,0.04057816353633086,0.5893709544107949,0.036022576361221775,0.05496189843799405,0.900866520361375,0.7085233840937263,0.963836307255473,1004
val,600,lfu_today,0.04228206222728135,0.5880887455837653,0.042662682602921644,0.05489035919812812,0.8917997101553723,0.6834488714003923,0.9610961923621139,1004
val,600,lfu_1h,0.05261572756592677,0.5781116515180259,0.05320385126162018,0.05627134319863403,0.8657733891078738,0.6703337651293924,0.9497977158104082,1004
val,600,random,0.07063294441282489,0.564872914823114,0.07420318725099602,0.06652991209764118,0.8128727228519776,0.4630233096012563,0.9295886622270855,1004
